I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;MaxDrawdown;TotalTradeProfit
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10017.46652000;10017.46652000;0.00000000;24;7;195.7846;17.4665
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10067.34076000;10067.34076000;0.00000000;28;9;197.2006;67.3408
20200505;5;20.0000;LowOrHighOfLast2Candles;0;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10137.91104000;10137.91104000;0.00000000;29;9;196.9466;137.9110
20200505;5;20.0000;LowOrHighOfLast2Candles;10;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10202.92736000;10202.92736000;0.00000000;27;10;221.8850;202.9274
20200505;5;20.0000;LowOrHighOfLast2Candles;20;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10149.21308000;10149.21308000;0.00000000;25;9;198.1531;149.2131
20200505;5;20.0000;LowOrHighOfLast2Candles;30;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10137.07748000;10137.07748000;0.00000000;23;8;139.8468;137.0775
20200505;5;20.0000;LowOrHighOfLast2Candles;40;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10004.76916000;10004.76916000;0.00000000;17;5;99.3800;4.7692
20200505;5;20.0000;LowOrHighOfLast2Candles;50;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;9989.12984000;9989.12984000;0.00000000;14;4;163.6374;-10.8702
20200505;5;20.0000;LowOrHighOfLast2Candles;60;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;9897.19080000;9897.19080000;0.00000000;12;2;181.2492;-102.8092
20200505;5;20.0000;LowOrHighOfLast2Candles;70;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;9927.47896000;9927.47896000;0.00000000;11;2;151.2410;-72.5210
20200505;5;20.0000;LowOrHighOfLast2Candles;80;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;9993.05000000;9993.05000000;0.00000000;10;2;121.7800;-6.9500
20200505;5;20.0000;LowOrHighOfLast2Candles;90;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;9939.28000000;9939.28000000;0.00000000;8;1;97.4000;-60.7200
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;4.000000;60;0.001000;7;20;1;9969.15768000;9969.15768000;0.00000000;9;3;106.7368;-30.8423
